content,month_str,value
Profiles: Organizations,2007-05,14
Profiles: Organizations,2007-06,96
Profiles: Organizations,2007-07,259
Profiles: Organizations,2007-08,522
Profiles: Organizations,2007-09,219
Profiles: Organizations,2007-10,152
Profiles: Organizations,2007-11,313
Profiles: Organizations,2007-12,231
Profiles: Organizations,2008-01,237
Profiles: Organizations,2008-02,708
Profiles: Organizations,2008-03,830
Profiles: Organizations,2008-04,800
Profiles: Organizations,2008-05,979
Profiles: Organizations,2008-06,1195
Profiles: Organizations,2008-07,1149
Profiles: Organizations,2008-08,1010
Profiles: Organizations,2008-09,994
Profiles: Organizations,2008-10,1072
Profiles: Organizations,2008-11,1125
Profiles: Organizations,2008-12,1440
Profiles: Organizations,2009-01,1710
Profiles: Organizations,2009-02,884
Profiles: Organizations,2009-03,995
Profiles: Organizations,2009-04,1229
Profiles: Organizations,2009-05,1317
Profiles: Organizations,2009-06,2241
Profiles: Organizations,2009-07,2284
Profiles: Organizations,2009-08,1895
Profiles: Organizations,2009-09,1801
Profiles: Organizations,2009-10,1369
Profiles: Organizations,2009-11,1508
Profiles: Organizations,2009-12,1998
Profiles: Organizations,2010-01,2060
Profiles: Organizations,2010-02,1631
Profiles: Organizations,2010-03,2131
Profiles: Organizations,2010-04,2010
Profiles: Organizations,2010-05,1817
Profiles: Organizations,2010-06,1680
Profiles: Organizations,2010-07,2354
Profiles: Organizations,2010-08,2208
Profiles: Organizations,2010-09,2091
Profiles: Organizations,2010-10,2607
Profiles: Organizations,2010-11,2198
Profiles: Organizations,2010-12,2122
Profiles: Organizations,2011-01,2091
Profiles: Organizations,2011-02,2149
Profiles: Organizations,2011-03,2078
Profiles: Organizations,2011-04,1839
Profiles: Organizations,2011-05,1945
Profiles: Organizations,2011-06,2159
Profiles: Organizations,2011-07,2272
Profiles: Organizations,2011-08,1999
Profiles: Organizations,2011-09,1807
Profiles: Organizations,2011-10,1861
Profiles: Organizations,2011-11,1724
Profiles: Organizations,2011-12,1646
Profiles: Organizations,2012-01,1579
Profiles: Organizations,2012-02,1515
Profiles: Organizations,2012-03,2076
Profiles: Organizations,2012-04,2090
Profiles: Organizations,2012-05,2257
Profiles: Organizations,2012-06,2239
Profiles: Organizations,2012-07,2316
Profiles: Organizations,2012-08,2460
Profiles: Organizations,2012-09,2366
Profiles: Organizations,2012-10,2685
Profiles: Organizations,2012-11,2447
Profiles: Organizations,2012-12,2825
Profiles: Organizations,2013-01,2803
Profiles: Organizations,2013-02,2963
Profiles: Organizations,2013-03,3030
Profiles: Organizations,2013-04,8155
Profiles: Organizations,2013-05,13300
Profiles: Organizations,2013-06,12061
Profiles: Organizations,2013-07,9397
Profiles: Organizations,2013-08,15657
Profiles: Organizations,2013-09,7310
Profiles: Organizations,2013-10,6356
Profiles: Organizations,2013-11,6635
Profiles: Organizations,2013-12,8032
Profiles: Organizations,2014-01,8979
Profiles: Organizations,2014-02,8119
Profiles: Organizations,2014-03,8740
Profiles: Organizations,2014-04,17443
Profiles: Organizations,2014-05,6391
Profiles: Organizations,2014-06,7693
Profiles: Organizations,2014-07,9675
Profiles: Organizations,2014-08,7989
Profiles: Organizations,2014-09,8935
Profiles: Organizations,2014-10,8684
Profiles: Organizations,2014-11,1860
Profiles: People,2007-05,27
